rank,TeamCountry,Total,percentage_medals_won
1,United States of America,113,10.46
2,People's Republic of China,88,8.15
3,Japan,58,5.37
4,Great Britain,65,6.02
5,ROC,71,6.57
6,Australia,46,4.26
7,Netherlands,36,3.33
8,France,33,3.06
9,Germany,37,3.43
10,Italy,40,3.7
11,Canada,24,2.22
12,Brazil,21,1.94
13,New Zealand,20,1.85
14,Cuba,15,1.39
15,Hungary,20,1.85
16,Republic of Korea,20,1.85
17,Poland,14,1.3
18,Czech Republic,11,1.02
19,Kenya,10,0.93
20,Norway,8,0.74
21,Jamaica,9,0.83
22,Spain,17,1.57
23,Sweden,9,0.83
24,Switzerland,13,1.2
25,Denmark,11,1.02
26,Croatia,8,0.74
27,Islamic Republic of Iran,7,0.65
28,Serbia,9,0.83
29,Belgium,7,0.65
30,Bulgaria,6,0.56
31,Slovenia,5,0.46
32,Uzbekistan,5,0.46
33,Georgia,8,0.74
34,Chinese Taipei,12,1.11
35,Turkey,13,1.2
36,Greece,4,0.37
36,Uganda,4,0.37
38,Ecuador,3,0.28
39,Ireland,4,0.37
39,Israel,4,0.37
41,Qatar,3,0.28
42,Bahamas,2,0.19
42,Kosovo,2,0.19
44,Ukraine,19,1.76
45,Belarus,7,0.65
46,Romania,4,0.37
46,Venezuela,4,0.37
48,India,7,0.65
49,"Hong Kong, China",6,0.56
50,Philippines,4,0.37
50,Slovakia,4,0.37
52,South Africa,3,0.28
53,Austria,7,0.65
54,Egypt,6,0.56
55,Indonesia,5,0.46
56,Ethiopia,4,0.37
56,Portugal,4,0.37
58,Tunisia,2,0.19
59,Estonia,2,0.19
59,Fiji,2,0.19
59,Latvia,2,0.19
59,Thailand,2,0.19
63,Bermuda,1,0.09
63,Morocco,1,0.09
63,Puerto Rico,1,0.09
66,Colombia,5,0.46
67,Azerbaijan,7,0.65
68,Dominican Republic,5,0.46
69,Armenia,4,0.37
70,Kyrgyzstan,3,0.28
71,Mongolia,4,0.37
72,Argentina,3,0.28
72,San Marino,3,0.28
74,Jordan,2,0.19
74,Malaysia,2,0.19
74,Nigeria,2,0.19
77,Bahrain,1,0.09
77,Saudi Arabia,1,0.09
77,Lithuania,1,0.09
77,North Macedonia,1,0.09
77,Namibia,1,0.09
77,Turkmenistan,1,0.09
83,Kazakhstan,8,0.74
84,Mexico,4,0.37
85,Finland,2,0.19
86,Botswana,1,0.09
86,Burkina Faso,1,0.09
86,Côte d'Ivoire,1,0.09
86,Ghana,1,0.09
86,Grenada,1,0.09
86,Kuwait,1,0.09
86,Republic of Moldova,1,0.09
86,Syrian Arab Republic,1,0.09
