Country,Discipline,count
United States of America,Athletics,144
Germany,Athletics,95
Great Britain,Athletics,75
Italy,Athletics,73
Japan,Athletics,70
France,Athletics,66
Australia,Athletics,65
Poland,Athletics,64
Spain,Athletics,58
Canada,Athletics,56
Jamaica,Athletics,54
Brazil,Athletics,53
People's Republic of China,Athletics,53
Ukraine,Athletics,48
Netherlands,Athletics,44
Australia,Football,43
Japan,Football,42
Brazil,Football,41
New Zealand,Football,39
Ethiopia,Athletics,39
United States of America,Swimming,39
Great Britain,Rowing,39
United States of America,Baseball/Softball,38
Japan,Baseball/Softball,37
Australia,Rowing,37
Kenya,Athletics,37
Mexico,Baseball/Softball,37
United States of America,Rowing,36
Argentina,Hockey,35
India,Hockey,35
Spain,Hockey,35
South Africa,Hockey,35
Australia,Hockey,35
Netherlands,Rowing,34
Romania,Rowing,34
Great Britain,Hockey,34
Netherlands,Hockey,33
Germany,Hockey,33
Belarus,Athletics,33
Japan,Hockey,32
Japan,Rugby Sevens,32
Czech Republic,Athletics,31
South Africa,Athletics,30
Australia,Swimming,30
Belgium,Athletics,30
New Zealand,Hockey,30
Norway,Handball,30
Switzerland,Athletics,30
Italy,Swimming,29
Spain,Handball,29
Canada,Rowing,28
Japan,Handball,28
Sweden,Handball,28
France,Handball,28
Brazil,Handball,28
ROC,Swimming,28
Ireland,Athletics,27
Great Britain,Swimming,27
Spain,Water Polo,26
People's Republic of China,Rowing,26
United States of America,Water Polo,25
Japan,Swimming,25
India,Athletics,25
Australia,Water Polo,25
People's Republic of China,Swimming,25
New Zealand,Rowing,25
Hungary,Water Polo,25
Turkey,Athletics,24
Colombia,Athletics,24
People's Republic of China,Shooting,24
United States of America,Rugby Sevens,24
Germany,Swimming,24
Spain,Basketball,24
United States of America,Fencing,24
Japan,Water Polo,23
Australia,Basketball,23
Italy,Fencing,23
Germany,Rowing,23
Great Britain,Rugby Sevens,23
Japan,Basketball,23
Brazil,Volleyball,23
Argentina,Volleyball,23
New Zealand,Rugby Sevens,23
Italy,Rowing,23
France,Basketball,23
Australia,Rugby Sevens,23
United States of America,Basketball,23
Nigeria,Basketball,23
